index,image,blip2_output,shuffled_options,prompted_questions
1272,data/images/quantifier/test_1272.png,"[['all'], ['h is the correct answer'], ['g'], ['almost all'], ['some']]","[{'a': 'none', 'b': 'some', 'c': 'all', 'd': 'almost all', 'e': 'many', 'f': 'most', 'g': 'the smaller part', 'h': 'almost none', 'i': 'few'}, {'a': 'almost none', 'b': 'none', 'c': 'some', 'd': 'most', 'e': 'few', 'f': 'almost all', 'g': 'the smaller part', 'h': 'all', 'i': 'many'}, {'a': 'almost all', 'b': 'some', 'c': 'few', 'd': 'none', 'e': 'many', 'f': 'almost none', 'g': 'the smaller part', 'h': 'most', 'i': 'all'}, {'a': 'most', 'b': 'all', 'c': 'few', 'd': 'some', 'e': 'almost all', 'f': 'the smaller part', 'g': 'many', 'h': 'almost none', 'i': 'none'}, {'a': 'some', 'b': 'most', 'c': 'the smaller part', 'd': 'many', 'e': 'none', 'f': 'almost none', 'g': 'all', 'h': 'almost all', 'i': 'few'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: some\nC: all\nD: almost all\nE: many\nF: most\nG: the smaller part\nH: almost none\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: none\nC: some\nD: most\nE: few\nF: almost all\nG: the smaller part\nH: all\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: some\nC: few\nD: none\nE: many\nF: almost none\nG: the smaller part\nH: most\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: all\nC: few\nD: some\nE: almost all\nF: the smaller part\nG: many\nH: almost none\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: most\nC: the smaller part\nD: many\nE: none\nF: almost none\nG: all\nH: almost all\nI: few\nAnswer:']"
1302,data/images/quantifier/test_1302.png,"[['all the animals are in the image'], ['g'], ['a'], ['g'], ['c']]","[{'a': 'the smaller part', 'b': 'many', 'c': 'few', 'd': 'none', 'e': 'most', 'f': 'all', 'g': 'some', 'h': 'almost all', 'i': 'almost none'}, {'a': 'all', 'b': 'almost all', 'c': 'most', 'd': 'few', 'e': 'many', 'f': 'the smaller part', 'g': 'almost none', 'h': 'none', 'i': 'some'}, {'a': 'many', 'b': 'some', 'c': 'most', 'd': 'the smaller part', 'e': 'almost none', 'f': 'almost all', 'g': 'few', 'h': 'all', 'i': 'none'}, {'a': 'almost none', 'b': 'none', 'c': 'the smaller part', 'd': 'all', 'e': 'some', 'f': 'many', 'g': 'most', 'h': 'almost all', 'i': 'few'}, {'a': 'almost none', 'b': 'some', 'c': 'all', 'd': 'few', 'e': 'most', 'f': 'almost all', 'g': 'none', 'h': 'the smaller part', 'i': 'many'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: many\nC: few\nD: none\nE: most\nF: all\nG: some\nH: almost all\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: almost all\nC: most\nD: few\nE: many\nF: the smaller part\nG: almost none\nH: none\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: some\nC: most\nD: the smaller part\nE: almost none\nF: almost all\nG: few\nH: all\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: none\nC: the smaller part\nD: all\nE: some\nF: many\nG: most\nH: almost all\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: some\nC: all\nD: few\nE: most\nF: almost all\nG: none\nH: the smaller part\nI: many\nAnswer:']"
2515,data/images/quantifier/test_2515.png,"[['many'], ['most'], ['almost all'], ['a'], ['a']]","[{'a': 'most', 'b': 'few', 'c': 'none', 'd': 'all', 'e': 'almost all', 'f': 'some', 'g': 'many', 'h': 'the smaller part', 'i': 'almost none'}, {'a': 'most', 'b': 'almost all', 'c': 'the smaller part', 'd': 'few', 'e': 'none', 'f': 'many', 'g': 'all', 'h': 'some', 'i': 'almost none'}, {'a': 'few', 'b': 'some', 'c': 'none', 'd': 'almost none', 'e': 'the smaller part', 'f': 'most', 'g': 'all', 'h': 'almost all', 'i': 'many'}, {'a': 'none', 'b': 'the smaller part', 'c': 'almost none', 'd': 'all', 'e': 'many', 'f': 'almost all', 'g': 'most', 'h': 'few', 'i': 'some'}, {'a': 'all', 'b': 'most', 'c': 'none', 'd': 'the smaller part', 'e': 'many', 'f': 'some', 'g': 'almost all', 'h': 'few', 'i': 'almost none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: few\nC: none\nD: all\nE: almost all\nF: some\nG: many\nH: the smaller part\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: almost all\nC: the smaller part\nD: few\nE: none\nF: many\nG: all\nH: some\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: some\nC: none\nD: almost none\nE: the smaller part\nF: most\nG: all\nH: almost all\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: the smaller part\nC: almost none\nD: all\nE: many\nF: almost all\nG: most\nH: few\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: most\nC: none\nD: the smaller part\nE: many\nF: some\nG: almost all\nH: few\nI: almost none\nAnswer:']"
2557,data/images/quantifier/test_2557.png,"[['b is the correct answer'], [''], ['d'], ['a, b, c, d, e, f'], ['a']]","[{'a': 'many', 'b': 'none', 'c': 'all', 'd': 'most', 'e': 'the smaller part', 'f': 'few', 'g': 'almost none', 'h': 'almost all', 'i': 'some'}, {'a': 'none', 'b': 'all', 'c': 'almost none', 'd': 'most', 'e': 'some', 'f': 'almost all', 'g': 'the smaller part', 'h': 'few', 'i': 'many'}, {'a': 'almost none', 'b': 'most', 'c': 'almost all', 'd': 'all', 'e': 'the smaller part', 'f': 'many', 'g': 'none', 'h': 'some', 'i': 'few'}, {'a': 'almost all', 'b': 'the smaller part', 'c': 'many', 'd': 'none', 'e': 'few', 'f': 'all', 'g': 'almost none', 'h': 'most', 'i': 'some'}, {'a': 'none', 'b': 'some', 'c': 'the smaller part', 'd': 'few', 'e': 'most', 'f': 'all', 'g': 'almost none', 'h': 'almost all', 'i': 'many'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: none\nC: all\nD: most\nE: the smaller part\nF: few\nG: almost none\nH: almost all\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: all\nC: almost none\nD: most\nE: some\nF: almost all\nG: the smaller part\nH: few\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: most\nC: almost all\nD: all\nE: the smaller part\nF: many\nG: none\nH: some\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: the smaller part\nC: many\nD: none\nE: few\nF: all\nG: almost none\nH: most\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: some\nC: the smaller part\nD: few\nE: most\nF: all\nG: almost none\nH: almost all\nI: many\nAnswer:']"
2592,data/images/quantifier/test_2592.png,"[['all'], ['c'], ['i'], ['g'], ['g']]","[{'a': 'none', 'b': 'all', 'c': 'many', 'd': 'almost all', 'e': 'some', 'f': 'almost none', 'g': 'the smaller part', 'h': 'few', 'i': 'most'}, {'a': 'the smaller part', 'b': 'none', 'c': 'almost none', 'd': 'some', 'e': 'many', 'f': 'almost all', 'g': 'all', 'h': 'most', 'i': 'few'}, {'a': 'almost none', 'b': 'some', 'c': 'few', 'd': 'many', 'e': 'the smaller part', 'f': 'most', 'g': 'all', 'h': 'none', 'i': 'almost all'}, {'a': 'many', 'b': 'some', 'c': 'none', 'd': 'few', 'e': 'all', 'f': 'almost none', 'g': 'the smaller part', 'h': 'most', 'i': 'almost all'}, {'a': 'all', 'b': 'almost all', 'c': 'some', 'd': 'most', 'e': 'none', 'f': 'many', 'g': 'almost none', 'h': 'the smaller part', 'i': 'few'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: all\nC: many\nD: almost all\nE: some\nF: almost none\nG: the smaller part\nH: few\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: none\nC: almost none\nD: some\nE: many\nF: almost all\nG: all\nH: most\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: some\nC: few\nD: many\nE: the smaller part\nF: most\nG: all\nH: none\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: some\nC: none\nD: few\nE: all\nF: almost none\nG: the smaller part\nH: most\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: almost all\nC: some\nD: most\nE: none\nF: many\nG: almost none\nH: the smaller part\nI: few\nAnswer:']"
2567,data/images/quantifier/test_2567.png,"[['b'], ['some'], ['c'], ['1'], ['almost all']]","[{'a': 'many', 'b': 'most', 'c': 'almost none', 'd': 'almost all', 'e': 'some', 'f': 'all', 'g': 'few', 'h': 'none', 'i': 'the smaller part'}, {'a': 'many', 'b': 'none', 'c': 'all', 'd': 'almost none', 'e': 'few', 'f': 'most', 'g': 'the smaller part', 'h': 'almost all', 'i': 'some'}, {'a': 'some', 'b': 'many', 'c': 'few', 'd': 'almost none', 'e': 'all', 'f': 'most', 'g': 'almost all', 'h': 'the smaller part', 'i': 'none'}, {'a': 'few', 'b': 'all', 'c': 'the smaller part', 'd': 'some', 'e': 'almost all', 'f': 'none', 'g': 'almost none', 'h': 'most', 'i': 'many'}, {'a': 'all', 'b': 'none', 'c': 'almost none', 'd': 'most', 'e': 'few', 'f': 'some', 'g': 'the smaller part', 'h': 'many', 'i': 'almost all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: most\nC: almost none\nD: almost all\nE: some\nF: all\nG: few\nH: none\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: none\nC: all\nD: almost none\nE: few\nF: most\nG: the smaller part\nH: almost all\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: many\nC: few\nD: almost none\nE: all\nF: most\nG: almost all\nH: the smaller part\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: all\nC: the smaller part\nD: some\nE: almost all\nF: none\nG: almost none\nH: most\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: none\nC: almost none\nD: most\nE: few\nF: some\nG: the smaller part\nH: many\nI: almost all\nAnswer:']"
2487,data/images/quantifier/test_2487.png,"[['a'], ['the smaller part'], ['almost all'], [''], ['all']]","[{'a': 'few', 'b': 'all', 'c': 'almost none', 'd': 'many', 'e': 'almost all', 'f': 'none', 'g': 'some', 'h': 'the smaller part', 'i': 'most'}, {'a': 'few', 'b': 'almost none', 'c': 'most', 'd': 'none', 'e': 'many', 'f': 'the smaller part', 'g': 'almost all', 'h': 'some', 'i': 'all'}, {'a': 'almost none', 'b': 'many', 'c': 'some', 'd': 'the smaller part', 'e': 'all', 'f': 'few', 'g': 'none', 'h': 'almost all', 'i': 'most'}, {'a': 'all', 'b': 'some', 'c': 'almost none', 'd': 'most', 'e': 'the smaller part', 'f': 'many', 'g': 'few', 'h': 'almost all', 'i': 'none'}, {'a': 'none', 'b': 'many', 'c': 'the smaller part', 'd': 'all', 'e': 'some', 'f': 'few', 'g': 'almost all', 'h': 'almost none', 'i': 'most'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: all\nC: almost none\nD: many\nE: almost all\nF: none\nG: some\nH: the smaller part\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: almost none\nC: most\nD: none\nE: many\nF: the smaller part\nG: almost all\nH: some\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: many\nC: some\nD: the smaller part\nE: all\nF: few\nG: none\nH: almost all\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: some\nC: almost none\nD: most\nE: the smaller part\nF: many\nG: few\nH: almost all\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: many\nC: the smaller part\nD: all\nE: some\nF: few\nG: almost all\nH: almost none\nI: most\nAnswer:']"
2472,data/images/quantifier/test_2472.png,"[['g'], ['many'], ['b'], ['the smaller part'], ['c, the smallest part']]","[{'a': 'most', 'b': 'some', 'c': 'almost none', 'd': 'almost all', 'e': 'all', 'f': 'the smaller part', 'g': 'none', 'h': 'many', 'i': 'few'}, {'a': 'none', 'b': 'almost none', 'c': 'most', 'd': 'some', 'e': 'many', 'f': 'few', 'g': 'almost all', 'h': 'the smaller part', 'i': 'all'}, {'a': 'none', 'b': 'almost none', 'c': 'some', 'd': 'most', 'e': 'the smaller part', 'f': 'few', 'g': 'almost all', 'h': 'many', 'i': 'all'}, {'a': 'some', 'b': 'the smaller part', 'c': 'few', 'd': 'many', 'e': 'all', 'f': 'almost all', 'g': 'almost none', 'h': 'none', 'i': 'most'}, {'a': 'few', 'b': 'the smaller part', 'c': 'many', 'd': 'most', 'e': 'almost all', 'f': 'none', 'g': 'almost none', 'h': 'all', 'i': 'some'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: some\nC: almost none\nD: almost all\nE: all\nF: the smaller part\nG: none\nH: many\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: almost none\nC: most\nD: some\nE: many\nF: few\nG: almost all\nH: the smaller part\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: almost none\nC: some\nD: most\nE: the smaller part\nF: few\nG: almost all\nH: many\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: the smaller part\nC: few\nD: many\nE: all\nF: almost all\nG: almost none\nH: none\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: the smaller part\nC: many\nD: most\nE: almost all\nF: none\nG: almost none\nH: all\nI: some\nAnswer:']"
2054,data/images/quantifier/test_2054.png,"[['d'], ['some'], ['i'], ['b'], ['']]","[{'a': 'all', 'b': 'none', 'c': 'few', 'd': 'almost all', 'e': 'most', 'f': 'almost none', 'g': 'some', 'h': 'many', 'i': 'the smaller part'}, {'a': 'some', 'b': 'few', 'c': 'the smaller part', 'd': 'many', 'e': 'almost all', 'f': 'all', 'g': 'almost none', 'h': 'most', 'i': 'none'}, {'a': 'the smaller part', 'b': 'some', 'c': 'all', 'd': 'almost none', 'e': 'few', 'f': 'none', 'g': 'almost all', 'h': 'most', 'i': 'many'}, {'a': 'none', 'b': 'most', 'c': 'all', 'd': 'many', 'e': 'some', 'f': 'the smaller part', 'g': 'few', 'h': 'almost none', 'i': 'almost all'}, {'a': 'some', 'b': 'almost all', 'c': 'all', 'd': 'almost none', 'e': 'few', 'f': 'the smaller part', 'g': 'many', 'h': 'most', 'i': 'none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: none\nC: few\nD: almost all\nE: most\nF: almost none\nG: some\nH: many\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: few\nC: the smaller part\nD: many\nE: almost all\nF: all\nG: almost none\nH: most\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: some\nC: all\nD: almost none\nE: few\nF: none\nG: almost all\nH: most\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: most\nC: all\nD: many\nE: some\nF: the smaller part\nG: few\nH: almost none\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: almost all\nC: all\nD: almost none\nE: few\nF: the smaller part\nG: many\nH: most\nI: none\nAnswer:']"
2111,data/images/quantifier/test_2111.png,"[[''], ['b'], ['there are many animals in the image'], ['none'], ['none']]","[{'a': 'the smaller part', 'b': 'none', 'c': 'most', 'd': 'almost none', 'e': 'all', 'f': 'some', 'g': 'few', 'h': 'almost all', 'i': 'many'}, {'a': 'almost all', 'b': 'none', 'c': 'most', 'd': 'all', 'e': 'almost none', 'f': 'few', 'g': 'many', 'h': 'some', 'i': 'the smaller part'}, {'a': 'all', 'b': 'most', 'c': 'none', 'd': 'few', 'e': 'the smaller part', 'f': 'some', 'g': 'almost none', 'h': 'many', 'i': 'almost all'}, {'a': 'some', 'b': 'few', 'c': 'none', 'd': 'the smaller part', 'e': 'many', 'f': 'almost all', 'g': 'almost none', 'h': 'most', 'i': 'all'}, {'a': 'some', 'b': 'all', 'c': 'many', 'd': 'almost none', 'e': 'none', 'f': 'few', 'g': 'the smaller part', 'h': 'almost all', 'i': 'most'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: none\nC: most\nD: almost none\nE: all\nF: some\nG: few\nH: almost all\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: none\nC: most\nD: all\nE: almost none\nF: few\nG: many\nH: some\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: most\nC: none\nD: few\nE: the smaller part\nF: some\nG: almost none\nH: many\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: few\nC: none\nD: the smaller part\nE: many\nF: almost all\nG: almost none\nH: most\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: all\nC: many\nD: almost none\nE: none\nF: few\nG: the smaller part\nH: almost all\nI: most\nAnswer:']"
2019,data/images/quantifier/test_2019.png,"[['all'], ['a'], ['many'], ['many'], ['some']]","[{'a': 'many', 'b': 'some', 'c': 'most', 'd': 'the smaller part', 'e': 'all', 'f': 'few', 'g': 'almost all', 'h': 'none', 'i': 'almost none'}, {'a': 'none', 'b': 'the smaller part', 'c': 'almost all', 'd': 'few', 'e': 'most', 'f': 'almost none', 'g': 'all', 'h': 'some', 'i': 'many'}, {'a': 'most', 'b': 'almost none', 'c': 'all', 'd': 'almost all', 'e': 'many', 'f': 'the smaller part', 'g': 'some', 'h': 'few', 'i': 'none'}, {'a': 'few', 'b': 'all', 'c': 'some', 'd': 'most', 'e': 'the smaller part', 'f': 'none', 'g': 'many', 'h': 'almost all', 'i': 'almost none'}, {'a': 'all', 'b': 'many', 'c': 'almost none', 'd': 'few', 'e': 'none', 'f': 'the smaller part', 'g': 'almost all', 'h': 'some', 'i': 'most'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: some\nC: most\nD: the smaller part\nE: all\nF: few\nG: almost all\nH: none\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: the smaller part\nC: almost all\nD: few\nE: most\nF: almost none\nG: all\nH: some\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: almost none\nC: all\nD: almost all\nE: many\nF: the smaller part\nG: some\nH: few\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: all\nC: some\nD: most\nE: the smaller part\nF: none\nG: many\nH: almost all\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: many\nC: almost none\nD: few\nE: none\nF: the smaller part\nG: almost all\nH: some\nI: most\nAnswer:']"
2031,data/images/quantifier/test_2031.png,"[['a'], ['the smaller part'], ['a'], ['all'], ['all']]","[{'a': 'many', 'b': 'some', 'c': 'most', 'd': 'the smaller part', 'e': 'almost all', 'f': 'none', 'g': 'almost none', 'h': 'all', 'i': 'few'}, {'a': 'almost none', 'b': 'all', 'c': 'the smaller part', 'd': 'few', 'e': 'most', 'f': 'many', 'g': 'some', 'h': 'almost all', 'i': 'none'}, {'a': 'many', 'b': 'all', 'c': 'most', 'd': 'almost all', 'e': 'none', 'f': 'almost none', 'g': 'some', 'h': 'few', 'i': 'the smaller part'}, {'a': 'almost none', 'b': 'the smaller part', 'c': 'some', 'd': 'all', 'e': 'many', 'f': 'few', 'g': 'most', 'h': 'almost all', 'i': 'none'}, {'a': 'most', 'b': 'some', 'c': 'many', 'd': 'few', 'e': 'the smaller part', 'f': 'almost all', 'g': 'all', 'h': 'almost none', 'i': 'none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: some\nC: most\nD: the smaller part\nE: almost all\nF: none\nG: almost none\nH: all\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: all\nC: the smaller part\nD: few\nE: most\nF: many\nG: some\nH: almost all\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: all\nC: most\nD: almost all\nE: none\nF: almost none\nG: some\nH: few\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: the smaller part\nC: some\nD: all\nE: many\nF: few\nG: most\nH: almost all\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: some\nC: many\nD: few\nE: the smaller part\nF: almost all\nG: all\nH: almost none\nI: none\nAnswer:']"
2137,data/images/quantifier/test_2137.png,"[['d'], ['c'], ['the smaller part'], ['a, b, and c are wrong'], ['g']]","[{'a': 'few', 'b': 'almost none', 'c': 'most', 'd': 'the smaller part', 'e': 'none', 'f': 'almost all', 'g': 'some', 'h': 'all', 'i': 'many'}, {'a': 'all', 'b': 'almost all', 'c': 'most', 'd': 'many', 'e': 'none', 'f': 'some', 'g': 'the smaller part', 'h': 'almost none', 'i': 'few'}, {'a': 'almost none', 'b': 'almost all', 'c': 'few', 'd': 'most', 'e': 'all', 'f': 'some', 'g': 'the smaller part', 'h': 'none', 'i': 'many'}, {'a': 'almost all', 'b': 'most', 'c': 'the smaller part', 'd': 'some', 'e': 'many', 'f': 'almost none', 'g': 'few', 'h': 'all', 'i': 'none'}, {'a': 'all', 'b': 'the smaller part', 'c': 'some', 'd': 'most', 'e': 'almost all', 'f': 'almost none', 'g': 'none', 'h': 'few', 'i': 'many'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: almost none\nC: most\nD: the smaller part\nE: none\nF: almost all\nG: some\nH: all\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: almost all\nC: most\nD: many\nE: none\nF: some\nG: the smaller part\nH: almost none\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: almost all\nC: few\nD: most\nE: all\nF: some\nG: the smaller part\nH: none\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: most\nC: the smaller part\nD: some\nE: many\nF: almost none\nG: few\nH: all\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: the smaller part\nC: some\nD: most\nE: almost all\nF: almost none\nG: none\nH: few\nI: many\nAnswer:']"
2135,data/images/quantifier/test_2135.png,"[['the smaller part'], ['a'], ['h'], ['h'], ['most animals']]","[{'a': 'few', 'b': 'the smaller part', 'c': 'none', 'd': 'almost all', 'e': 'some', 'f': 'many', 'g': 'most', 'h': 'almost none', 'i': 'all'}, {'a': 'none', 'b': 'all', 'c': 'many', 'd': 'most', 'e': 'the smaller part', 'f': 'almost all', 'g': 'almost none', 'h': 'few', 'i': 'some'}, {'a': 'none', 'b': 'all', 'c': 'many', 'd': 'almost none', 'e': 'almost all', 'f': 'the smaller part', 'g': 'some', 'h': 'most', 'i': 'few'}, {'a': 'all', 'b': 'few', 'c': 'the smaller part', 'd': 'some', 'e': 'none', 'f': 'almost all', 'g': 'almost none', 'h': 'many', 'i': 'most'}, {'a': 'some', 'b': 'almost all', 'c': 'most', 'd': 'all', 'e': 'few', 'f': 'the smaller part', 'g': 'many', 'h': 'none', 'i': 'almost none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: the smaller part\nC: none\nD: almost all\nE: some\nF: many\nG: most\nH: almost none\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: all\nC: many\nD: most\nE: the smaller part\nF: almost all\nG: almost none\nH: few\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: all\nC: many\nD: almost none\nE: almost all\nF: the smaller part\nG: some\nH: most\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: few\nC: the smaller part\nD: some\nE: none\nF: almost all\nG: almost none\nH: many\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: almost all\nC: most\nD: all\nE: few\nF: the smaller part\nG: many\nH: none\nI: almost none\nAnswer:']"
1486,data/images/quantifier/test_1486.png,"[['most, 2 options'], ['c'], ['c'], ['some animals'], ['most']]","[{'a': 'all', 'b': 'none', 'c': 'few', 'd': 'almost none', 'e': 'some', 'f': 'the smaller part', 'g': 'almost all', 'h': 'many', 'i': 'most'}, {'a': 'all', 'b': 'many', 'c': 'none', 'd': 'the smaller part', 'e': 'most', 'f': 'almost none', 'g': 'few', 'h': 'almost all', 'i': 'some'}, {'a': 'some', 'b': 'few', 'c': 'almost all', 'd': 'all', 'e': 'the smaller part', 'f': 'many', 'g': 'most', 'h': 'none', 'i': 'almost none'}, {'a': 'few', 'b': 'almost all', 'c': 'all', 'd': 'many', 'e': 'most', 'f': 'the smaller part', 'g': 'some', 'h': 'almost none', 'i': 'none'}, {'a': 'the smaller part', 'b': 'most', 'c': 'few', 'd': 'almost none', 'e': 'some', 'f': 'almost all', 'g': 'many', 'h': 'none', 'i': 'all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: none\nC: few\nD: almost none\nE: some\nF: the smaller part\nG: almost all\nH: many\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: many\nC: none\nD: the smaller part\nE: most\nF: almost none\nG: few\nH: almost all\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: few\nC: almost all\nD: all\nE: the smaller part\nF: many\nG: most\nH: none\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: almost all\nC: all\nD: many\nE: most\nF: the smaller part\nG: some\nH: almost none\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: most\nC: few\nD: almost none\nE: some\nF: almost all\nG: many\nH: none\nI: all\nAnswer:']"
