image_path,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,"BLIP-2, nucleus, caption_1","BLIP-2, nucleus, saliency_1","BLIP-2, nucleus, caption_2","BLIP-2, nucleus, saliency_2","BLIP-2, nucleus, caption_3","BLIP-2, nucleus, saliency_3","BLIP-2, nucleus, caption_4","BLIP-2, nucleus, saliency_4","BLIP-2, nucleus, caption_5","BLIP-2, nucleus, saliency_5","BLIP-2, nucleus, caption_6","BLIP-2, nucleus, saliency_6","BLIP-2, nucleus, caption_7","BLIP-2, nucleus, saliency_7","BLIP-2, nucleus, caption_8","BLIP-2, nucleus, saliency_8","BLIP-2, nucleus, caption_9","BLIP-2, nucleus, saliency_9","BLIP-2, nucleus, caption_10","BLIP-2, nucleus, saliency_10",blip2_saliency_rate,model_color_saliency,color_pearsonr,model_texture_saliency,texture_pearsonr
data/images/noun/2036-600.jpg,2036,cup-and-ball toy,59,70,20,20,"a wooden toy has a red, yellow, blue and green handle","(['Red', 'Yellow', 'Green', 'Blue'], ['Wooden'])",wooden wooden toy wooden toy mallet ball,"([], ['Wooden'])","a wooden toy with a green, yellow and red wooden knob","(['Red', 'Yellow', 'Green'], ['Wooden'])","a wooden toy with red, yellow, green, blue, and pink balls on it","(['Red', 'Yellow', 'Green', 'Blue', 'Pink'], ['Wooden'])",the wooden toy hammer is a brightly colored toy,"(['Red'], ['Wooden'])","toy wooden drum with red, yellow, green and blue colors","(['Red', 'Yellow', 'Green', 'Blue'], ['Wooden'])",a wooden toy drum on a white background,"([], ['Wooden'])",wooden toy toy hammer with ball on top,"([], ['Wooden'])",an old wooden toy that is holding a ball,"([], ['Wooden'])",drumsticks wooden children's toy with colorful plastic balls,"([], ['Wooden', 'Plastic'])","(50, 100)",50,0.39854250008597725,100,0.14523802438751093
data/images/noun/2037-600.jpg,2037,teething ring with a bit photoshopped out,34,24,37,3,pink plastic beads with an opening,"(['Pink'], ['Plastic'])","dentist approved, 3 piece dental guard, white","(['White'], [])",a pink plastic bracelet with plastic balls in it,"(['Pink'], ['Plastic'])",a close up of pink beads on a white surface,"(['Pink', 'White'], [])",a pink rubber bracelet with small balls,"(['Pink'], ['Rubber'])",a bracelet with clear plastic beads on it,"([], ['Plastic'])",the teeth of a pink plastic ring,"(['Pink'], ['Plastic'])",tigra tigra - rose gold - 12 x 9,"(['Gold', 'Rose'], [])",pink silicone beads and a pink rubber band,"(['Pink'], ['Rubber'])",a pink bracelet that is holding a round ball,"(['Pink'], [])","(90, 60)",90,0.39854250008597725,60,0.14523802438751093
data/images/noun/2038-600.jpg,2038,heart shaped slinky,56,63,26,6,3d printed raindrops - raindrop rainbow,"([], [])",a rainbow shaped candy ring on white background,"([], [])",a group of colorful plastic tubes arranged in a heart shape,"([], ['Plastic'])","bob's toys - cloud in pink, yellow, green, orange and blue in 1/2","(['Orange', 'Yellow', 'Green', 'Blue', 'Pink'], [])",orange heart shape colored toys,"(['Red', 'Orange'], [])","a close up view of an orange, yellow, green and purple bobby pin","(['Orange', 'Yellow', 'Green', 'Purple'], [])","orange and yellow rainbows, with three of them","(['Orange', 'Yellow'], [])",the inside of an elastic heart shaped toy,"([], [])",two large rainbow colored rings that are attached together,"(['Red'], [])",an image of a colorful ring on a white surface,"(['White'], [])","(60, 10)",60,0.39854250008597725,10,0.14523802438751093
data/images/noun/2039-600.jpg,2039,led top,28,64,61,13,green plastic toy with two small holes,"(['Green'], ['Plastic'])",the green plastic toy is placed on a table,"(['Green'], ['Plastic', 'Lace'])",a green plastic toy with a cross on it,"(['Green'], ['Plastic'])",green colored plastic fidget spinner with white cross,"(['Red', 'Green', 'White'], ['Plastic'])",green plastic cross shaped fidget spinner,"(['Green'], ['Plastic'])",toys r us - kids fidget spinners with lights - green,"(['Green'], [])",a green plastic cross shaped object with a clock inside,"(['Green'], ['Plastic'])",a green plastic puzzle toy with three small pieces,"(['Green'], ['Plastic'])",a plastic toy with green pieces on top,"(['Green'], ['Plastic'])","a small green plastic toy with the letters ""skeet"" on it","(['Green'], ['Plastic'])","(100, 90)",100,0.39854250008597725,90,0.14523802438751093
data/images/noun/2040-600.jpg,2040,rubber toy found in toy aisle,31,64,63,16,a blue and yellow ball with a mop on top,"(['Yellow', 'Blue'], [])",a toy with a blue and yellow ball,"(['Yellow', 'Blue'], [])",an image of the toy with the blue ball,"(['Blue'], [])",mexi toy blue fuzz ball,"(['Blue'], [])",blue and yellow ball with a blue mohawk,"(['Yellow', 'Blue'], [])",a blue and yellow toy with a blue sponge toy in it,"(['Yellow', 'Blue'], [])",a blue ball and yellow tassels on a white background,"(['Yellow', 'Blue'], [])",a toy with yellow and blue spiky hair,"(['Yellow', 'Blue'], [])",a toy ball with blue and yellow fur,"(['Yellow', 'Blue'], [])",a blue and yellow tangle ball with a black and white ball inside,"(['Yellow', 'Blue', 'Black', 'White', 'Tan'], [])","(100, 0)",100,0.39854250008597725,0,0.14523802438751093
data/images/noun/2041-600.jpg,2041,massager,34,38,23,20,wooden multi-functional ball for toy,"([], ['Wooden'])",wooden toy with blue spheres on each end,"(['Blue'], ['Wooden'])",a wooden toy with blue balls on top,"(['Blue'], ['Wooden'])",a wooden toy with balls attached to it,"([], ['Wooden'])",a blue wooden toy with four balls,"(['Blue'], ['Wooden'])",wooden ball cross with blue ball on each side,"(['Blue'], ['Wooden'])",the blue wooden cross stands up against the white background,"(['Blue', 'Tan'], ['Wooden'])",blue wooden wooden toy with three balls on each side,"(['Blue'], ['Wooden'])",wooden toys in the shape of a cross with a blue handle,"(['Blue'], ['Wooden'])",a wooden toy with two balls on top,"([], ['Wooden'])","(70, 100)",70,0.39854250008597725,100,0.14523802438751093
data/images/noun/2042-600.jpg,2042,small personal fan without blades,38,67,81,3,a blue and yellow spray bottle with the top open,"(['Yellow', 'Blue'], [])",a plastic toothbrush in a blue and yellow color,"(['Yellow', 'Blue'], ['Plastic'])",an object with a yellow and blue top on a white background,"(['Yellow', 'Blue'], [])",blue and yellow plastic toothbrush on a white background,"(['Yellow', 'Blue'], ['Plastic'])",this is a toy bottle with blue and yellow plastic,"(['Yellow', 'Blue'], ['Plastic'])",the spray bottle has a yellow top,"(['Yellow'], [])",the 3d printed blue and yellow spray bottle,"(['Yellow', 'Blue'], [])",3d printed yellow and blue cleaning spray,"(['Yellow', 'Blue'], [])",a blue and yellow water bottle with an orange top,"(['Orange', 'Yellow', 'Blue'], [])",a blue and yellow spray bottle with a yellow top,"(['Yellow', 'Blue'], [])","(100, 30)",100,0.39854250008597725,30,0.14523802438751093
data/images/noun/2043.jpg,2043,clacker,66,76,65,6,three colorful plastic balls and a plastic hook,"([], ['Plastic'])",a toy with two colorful plastic balls and a string,"([], ['Plastic'])",a plastic toy with a yellow and pink ball,"(['Yellow', 'Pink'], ['Plastic'])",a toy is attached to a string and plastic toy,"([], ['Plastic'])",fresco plastic toys in india,"([], ['Plastic'])",a toy with two balls attached to it,"([], [])",pvc plastic balls with green and pink,"(['Green', 'Pink'], ['Plastic'])",an object with a pink and green ball,"(['Green', 'Pink'], [])",a toy with two green and yellow balls on it,"(['Yellow', 'Green'], [])",a yellow and green toy is on the ground,"(['Yellow', 'Green'], [])","(50, 60)",50,0.39854250008597725,60,0.14523802438751093
data/images/noun/2044-600.jpg,2044,diving toy with small weight,6,27,94,6,barkit ebbie ball – orange,"(['Orange'], [])",fuzzy rubber toy - orange,"(['Orange'], ['Fuzzy', 'Rubber'])",a toy that has a blue ball on it,"(['Blue'], [])",the yellow and blue toy is shown,"(['Yellow', 'Blue'], [])",the green beanie is made of fabric with holes and an orange head,"(['Orange', 'Green'], [])",a blue and orange plastic toy with a green ball in it,"(['Orange', 'Green', 'Blue'], ['Plastic'])",a toy has orange and blue plastic pieces,"(['Orange', 'Blue'], ['Plastic'])",an orange and blue plastic toothbrush with an orange handle,"(['Orange', 'Blue'], ['Plastic'])",a toy with an orange and blue plastic toothbrush,"(['Orange', 'Blue'], ['Plastic'])",an orange toothbrush with blue balls in it,"(['Orange', 'Blue'], [])","(100, 50)",100,0.39854250008597725,50,0.14523802438751093
data/images/noun/2045-600.jpg,2045,wooden ball toy,25,29,3,55,a wooden stick with eight holes on it,"([], ['Wooden'])",cork handle cork holder,"([], [])",a wooden toothbrush holder with five holes in it,"([], ['Wooden'])","holland glass cork ring, 6 holes, clear","([], [])",the wooden handle has holes for holes,"([], ['Wooden'])",a wooden spoon holder with five holes,"([], ['Wooden'])",a wooden spatula is sitting on top of a white surface,"(['White'], ['Wooden'])",a wooden spoon that has six holes in it,"([], ['Wooden'])",a wooden spoon holder with five holes in it,"([], ['Wooden'])",a wooden spoon with six holes and one with a toothpick in it,"([], ['Wooden'])","(10, 80)",10,0.39854250008597725,80,0.14523802438751093
data/images/noun/2046-600.jpg,2046,keychain with bubbles inside,34,67,42,3,a clear plastic box with a metal keychain attached to it,"([], ['Plastic'])",a clear square plastic case with a metal keychain,"([], ['Plastic'])",glass water bottle with key chain,"([], [])",a square glass key chain that is made out of plastic,"([], ['Plastic'])",keychain with an electronic box of bubbles,"([], [])",laser-etched-glass-ring-for-keychain,"([], [])",the light keychain is decorated with a water droplet design,"([], [])",a small plastic key chain with a piece of glass,"([], ['Plastic'])",a small glass case with an object inside,"([], [])",an image of a small square keychain that has some water droplets on it,"([], [])","(0, 40)",0,0.39854250008597725,40,0.14523802438751093
data/images/noun/2047-600.jpg,2047,perfume sprayer,41,32,50,3,an open black and white bottle with black stripes,"(['Black', 'White'], [])",a black and silver canister with a metal cap,"(['Black', 'Silver'], [])",an empty black and silver pen with a black stripe on the end,"(['Black', 'Silver'], [])","a black, stainless steel, and white cap on a white background","(['Black'], [])",an electronic cigarette on a white surface with a black cap,"(['Black', 'White'], [])",an empty bottle with black and white stripes,"(['Black', 'White'], [])",an aluminum and black pen with a red strip on the top,"(['Red', 'Black'], [])",a black and silver vaporizer on a white background,"(['Black', 'Silver'], [])",an image of a metal and black metal bottle,"(['Black'], [])",e-cigarette liquid atomizer with ceramic atomizer atomizer with ceramic atomizer atomizer with ceramic,"([], [])","(90, 0)",90,0.39854250008597725,0,0.14523802438751093
data/images/noun/2048-600.jpg,2048,worm ball with hands and stars cut off,13,47,55,6,a bunch of toys that look like they are made of plastic,"([], ['Plastic'])",colorful toys are arranged in a pile on a white background,"([], [])",a colorful ball pile up is shown on a white background,"([], [])",several colorful plastic balls in a pile on a white background,"([], ['Plastic'])",colorful plastic balls and toys on a white background,"([], ['Plastic'])",plastic balls with various colors in front of white background,"([], ['Plastic'])",large set of colorful plastic balls arranged on top of each other,"([], ['Plastic'])","ballerina's colorful ball roll-up toy, 24 pcs","([], [])",an image of many colorful balls sitting on top of a small pile,"([], [])",a pile of colorful balls with an octopus head,"([], [])","(0, 50)",0,0.39854250008597725,50,0.14523802438751093
data/images/noun/2049-600.jpg,2049,slide whistle,19,44,39,10,an adjustable rod with a blue plastic handle,"(['Blue'], ['Plastic'])",a plastic pencil with metal holder on a white background,"([], ['Plastic'])",santa rosa blue pen,"(['Blue'], [])",the blue pencil pen has a metal hook,"(['Blue'], [])",a small pen with a white handle and blue handle,"(['Blue', 'White'], [])",a pen is sitting on top of a white surface,"(['White'], [])",a blue pen with a wire end attached,"(['Blue'], [])",a blue tube with a white plastic handle on top,"(['Blue', 'White'], ['Plastic'])",blue pen pen clip on white background,"(['Blue'], [])",the metal hook for an extension cord is on a blue plastic stick,"(['Blue'], ['Plastic'])","(90, 40)",90,0.39854250008597725,40,0.14523802438751093
data/images/noun/2050-600.jpg,2050,mobile phone stand for a car,31,68,45,0,black plastic car dashboard car mount,"(['Black'], ['Plastic'])",an image of a black object on a white background,"(['Black'], [])",a black car head unit sitting on top of a white surface,"(['Black', 'White'], [])","a black, rubber, round object on a white background","(['Black'], ['Rubber'])",the side view of the car mount with the cup holder,"([], [])",an image of the black plastic car mount on a white background,"(['Black'], ['Plastic'])",a black round plastic device is shown in the photo,"(['Black'], ['Plastic'])",a black cup holder with a handle on top,"(['Black'], [])",a black cup holder with a handle attached to the top of it,"(['Black'], [])",a black round base for an electric stove,"(['Black'], [])","(90, 40)",90,0.39854250008597725,40,0.14523802438751093
data/images/noun/2051-600.jpg,2051,finger castanet,53,60,47,9,an open toilet seat that is green with a white base,"(['Green', 'White'], [])",a green toilet seat with a pink flower design,"(['Green', 'Pink'], [])",a green and black circular toy with a pink bow,"(['Green', 'Pink', 'Black'], [])",the wooden toilet seat has a green seat with pink flowers on it,"(['Green', 'Pink'], ['Wooden'])",a green toilet seat with a pink butterfly on it,"(['Green', 'Pink'], [])",a green and white plastic toilet seat with two handles,"(['Green', 'White'], ['Plastic'])",ladybug seat by nintendo green,"(['Green'], [])",this is an open green toilet seat,"(['Green'], [])",a green plastic toilet seat with a green lid,"(['Green'], ['Plastic'])",a green toilet seat with a pink seat cover,"(['Green', 'Pink'], [])","(100, 30)",100,0.39854250008597725,30,0.14523802438751093
data/images/noun/2052-600.jpg,2052,noisemaker,41,53,63,7,an orange plastic toothbrush that has a green handle and a pink head,"(['Orange', 'Green', 'Pink'], ['Plastic'])",the green and red spoons sit on a white surface,"(['Red', 'Green', 'White'], [])",a pink and green flower shaped tool on a white background,"(['Green', 'Pink'], [])",the pink and green plastic flower shaped spoon,"(['Green', 'Pink'], ['Plastic'])",a plastic flower holder with two stems attached,"([], ['Plastic'])",green plastic and pink plastic flower stand,"(['Green', 'Pink', 'Tan'], ['Plastic'])",a green plastic hand with pink flowers,"(['Green', 'Pink'], ['Plastic'])",a green plastic spork with a pink handle,"(['Green', 'Pink'], ['Plastic'])",green plastic flower holder with pink handle,"(['Green', 'Pink'], ['Plastic'])",a pink and green hand held flower blower,"(['Green', 'Pink'], [])","(90, 70)",90,0.39854250008597725,70,0.14523802438751093
data/images/noun/2053-600.jpg,2053,hand castanet,44,79,45,6,hanging clothes hanger,"([], [])",bv12-credi lite red,"(['Red'], [])","cargo hook with rope, red","(['Red'], [])",a red hair dryer is on a stand,"(['Red', 'Tan'], ['Dry'])",a black and red hairbrush on a stand,"(['Red', 'Black', 'Tan'], [])","a red, metal and plastic toothbrush holder","(['Red'], ['Plastic'])",a black and red coat hanger with two red hooks,"(['Red', 'Black'], [])",bobby hook with metal base red,"(['Red'], [])",a pair of scissors is sitting on top of a wooden pole,"([], ['Wooden'])",a pair of scissors with red handles,"(['Red'], [])","(80, 30)",80,0.39854250008597725,30,0.14523802438751093
data/images/noun/2054-600.jpg,2054,floating ball game,3,25,38,48,a wooden stick and a red handle on a white background,"(['Red'], ['Wooden'])",wooden wooden toy hanging from a metal stand,"(['Tan'], ['Wooden'])",the wooden toy has a red handle,"(['Red'], ['Wooden'])",red metal pipe handle on a wooden stick,"(['Red'], ['Wooden'])",a wooden stick with a red stand on it,"(['Red', 'Tan'], ['Wooden'])",mock-up of a wooden bar stool with a metal base,"([], ['Wooden'])",the red metal handle of the axe is on a stand,"(['Red', 'Tan'], [])",a red and wood tool on a white background,"(['Red'], [])",red and white wooden pipe on white background,"(['Red'], ['Wooden'])",a wooden bat that has a handle that is attached to a red stand,"(['Red', 'Tan'], ['Wooden'])","(90, 80)",90,0.39854250008597725,80,0.14523802438751093
data/images/noun/2055-600.jpg,2055,aroma therapy oil burner,13,33,53,13,the yellow vase is shaped like a birdcage,"(['Yellow'], [])",a small vase with a hole in it,"([], [])",green ceramic vase with holes in it,"(['Green'], [])",a green vase with holes in it,"(['Green'], [])",yellow glass table top,"(['Yellow'], [])",a green ceramic stool with a hole in the middle,"(['Green'], [])",lime green ceramic vase with a hole pattern,"(['Green'], [])",a green vase with holes cut into it,"(['Green'], [])",ceramic vase in a yellow color with holes in it,"(['Yellow'], [])",a green vase with cut outs on it,"(['Green'], [])","(90, 0)",90,0.39854250008597725,0,0.14523802438751093
data/images/noun/2056-600.jpg,2056,dog toy,19,59,61,13,a small toy airplane with a colorful handle,"([], [])",a toy airplane shaped like a rainbow colored toy,"(['Red'], [])",rainbow dog toy - dog toy - colorful dog toys,"([], [])",dog toys on a white background,"([], [])","airplane rubber dog toy, 1/4 inch - rainbow","([], ['Rubber'])",small toy plane toy in color on white background,"([], [])","a toy airplane shaped like a rainbow and red, yellow and blue","(['Red', 'Yellow', 'Blue'], [])",a toy plane made out of colored paper,"(['Red'], [])",a toy plane with rainbow colors on it,"([], [])",a toy plane made of foam and rubber,"([], ['Rubber'])","(30, 20)",30,0.39854250008597725,20,0.14523802438751093
data/images/noun/2057-600.jpg,2057,spout for watering can,34,32,35,3,a red and black fan with a black handle,"(['Red', 'Black'], [])",a red and white fan with a black handle,"(['Red', 'Black', 'White'], [])",a red fan that is sitting on top of a white background,"(['Red'], [])",a red fan with black handle sitting on a white background,"(['Red', 'Black'], [])",the round brush is red and has black trim,"(['Red', 'Black'], [])",a red plastic fan with white handle on a white background,"(['Red'], ['Plastic'])",a red and white fan that is on top of a white background,"(['Red'], [])",a red plastic fan sitting on top of a black plastic base,"(['Red', 'Black'], ['Plastic'])",a red umbrella with a black handle on it,"(['Red', 'Black'], [])",an image of a red fan,"(['Red'], [])","(100, 20)",100,0.39854250008597725,20,0.14523802438751093
data/images/noun/2058-600.jpg,2058,hole for children golf game,22,33,58,3,a plastic ring with pink plastic around it,"(['Pink'], ['Plastic'])",the toilet seat cover with a pink plastic top,"(['Pink'], ['Plastic'])",the round plastic toilet bowl is in pink,"(['Pink'], ['Plastic'])",a pink plastic circular toilet seat,"(['Pink'], ['Plastic'])",a pink plastic toilet seat cover,"(['Pink'], ['Plastic'])",an oval pink plastic toilet bowl with hole,"(['Pink'], ['Plastic'])",a plastic ring shaped like a circle,"([], ['Plastic'])",a plastic toilet seat ring on a white background,"([], ['Plastic'])",a pink plastic toilet cover that has an opening,"(['Pink'], ['Plastic'])",a plastic circle is a little bit different from the rest of the toilet bowl,"([], ['Plastic'])","(70, 100)",70,0.39854250008597725,100,0.14523802438751093
data/images/noun/2059-600.jpg,2059,maraca pen,75,92,28,0,a purple spatula shaped like a spoon,"(['Purple'], [])",purple vibrating spoon,"(['Purple'], [])",this is an image of a purple sex toy,"(['Purple'], [])",a purple egg shaped spoon with a long handle,"(['Purple'], [])",a plastic spoon shaped like a spork is purple,"(['Purple'], ['Plastic'])",an egg shaped purple plastic toy with a wooden handle,"(['Purple'], ['Wooden', 'Plastic'])",a purple plastic spoons and a spoon shaped in the shape of a spoon,"(['Purple'], ['Plastic'])",a purple spork is sitting on a white background,"(['Purple'], [])",an egg shaped vibrator with purple handle,"(['Purple'], [])",the purple spork has a long spoon in the bottom,"(['Purple'], [])","(100, 30)",100,0.39854250008597725,30,0.14523802438751093
data/images/noun/2060-600.jpg,2060,dog toy with removed rope,38,32,55,29,"red, plastic flower shaped toy on a white background","(['Red'], ['Plastic'])",this is a picture of a red rubber ball,"(['Red'], ['Rubber'])",a large red toy made up of plastic balls,"(['Red'], ['Plastic'])",a red dog toy with five plastic balls inside,"(['Red'], ['Plastic'])",a toy in red with five pieces of plastic,"(['Red'], ['Plastic'])",an image of an object that looks like an object,"([], [])",dog toys toys & gifts for dogs & pets online,"([], [])",a plastic toy with some red goo in it,"(['Red'], ['Plastic'])",coconut dog treat in clear jelly,"([], [])",a red plastic toy with a flower on it,"(['Red'], ['Plastic'])","(70, 70)",70,0.39854250008597725,70,0.14523802438751093
data/images/noun/2061-600.jpg,2061,dog toy,53,53,59,13,a toy with a colorful donut shape,"([], [])",a dog toy is made to look like a green doughnut,"(['Green'], [])",dog ball - corona donut,"([], [])",an image of a toy doughnut on a white background,"([], [])",a green rubber donut shaped like a donut,"(['Green'], ['Rubber'])",the dog toy has been made from plastic,"([], ['Plastic'])",a green toy dog toy with colorful dots on it,"(['Green'], [])",small colorful bubble ball dog toy,"([], [])",a small green toy with colorful dots on it,"(['Green'], [])",a green plastic ring with multi colored dots,"(['Red', 'Green'], ['Plastic'])","(50, 30)",50,0.39854250008597725,30,0.14523802438751093
data/images/noun/2062-600.jpg,2062,dog toy,44,56,29,42,tug and tug dog toy,"([], [])",an orange plastic toy ring is sitting on a white surface,"(['Orange', 'White'], ['Plastic'])",the petz berry ring has a large orange spike on it,"(['Orange'], [])",a orange rubber ring on a white background,"(['Orange'], ['Rubber'])",an orange toy on a white background,"(['Orange'], [])",a small orange plastic toy that has small spikes on it,"(['Orange'], ['Plastic'])",a round orange plastic ball shaped toy,"(['Orange'], ['Plastic'])",orange twisty rubber ring for your dog,"(['Orange'], ['Rubber'])",an orange spiky dog toy on a white background,"(['Orange'], [])",a circular orange rubber toy is sitting on a white background,"(['Orange'], ['Rubber'])","(90, 60)",90,0.39854250008597725,60,0.14523802438751093
data/images/noun/2063-600.jpg,2063,magic loops,25,38,13,19,a metal sculpture with multi colored balls on it,"(['Red'], [])",a metal sculpture with multicolored beads on it,"(['Red'], [])",solar system of toys,"([], [])",an iron sculpture of a planet in the shape of a ring,"([], [])",a metal sphere made out of various colors,"([], [])",a metal sculpture that is shaped like an orb,"([], [])",this is an image of a metal sculpture that is in the shape of a globe,"([], [])",a wire and beads sculpture of a ring with different colors,"([], [])",a multi colored chain with a ball attached,"(['Red'], [])","a colorful, three - sided wire globe with a bunch of colored balls","(['Red'], [])","(40, 0)",40,0.39854250008597725,0,0.14523802438751093
data/images/noun/2064-600.jpg,2064,massager,28,33,45,3,a green leg stool with silver feet,"(['Green', 'Silver'], [])",a green foot stool that has a plastic body,"(['Green'], ['Plastic'])",an item of green plastic that has wheels,"(['Green'], ['Plastic'])",the sci-fi style foot massager is green and has three legs,"(['Green'], [])",a small green and silver robot footstool,"(['Green', 'Silver'], [])",a green object on top of the leg and feet,"(['Green'], [])",a green leg massager with wheels and metal feet,"(['Green'], [])",the remote massager is designed in green,"(['Green'], [])",an image of an electronic device that is green,"(['Green'], [])",an image of a green leg massager,"(['Green'], [])","(100, 20)",100,0.39854250008597725,20,0.14523802438751093
